ERROR  2016-07-13 23:13:12,513 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,513 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,513 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,513 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,514 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,514 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,514 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,514 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,514 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,514 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,514 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,514 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,515 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,515 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,515 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,515 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,515 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,515 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,515 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,515 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,515 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,516 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,516 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,516 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,516 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,516 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,516 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,516 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,516 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,516 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,517 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,517 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,517 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,517 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,517 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,517 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,517 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,517 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,517 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,518 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,518 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,518 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,518 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,518 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,518 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,518 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,518 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,518 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,518 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,519 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,519 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,519 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,519 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,519 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,519 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,519 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,519 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,519 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,520 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,520 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,520 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,520 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,520 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,520 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,520 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,520 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,521 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,521 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,521 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,521 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,521 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,521 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,521 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,521 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,521 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,522 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,522 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,522 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,522 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,522 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,522 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,522 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,522 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,523 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,523 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,524 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,524 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,525 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,525 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,525 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,525 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,525 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,525 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,526 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,526 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,526 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,526 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,526 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,526 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,526 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,527 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,527 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,527 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,527 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,527 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,527 : integer division or modulo by zero
